Persona;AnoNac;Actividad;Medio
10461101;1970;1;1
10462003;1969;1;1
10462004;1987;1;1
10465101;1970;1;1
10468101;1957;1;1
10468103;1987;1;1
10472101;1966;1;1
10473101;1968;1;1
10473102;1978;1;1
10473103;2008;2;2
10473104;2008;2;2
10473105;2008;2;2
10476101;1937;3;1
10476102;1938;3;1
10476103;1964;1;2
10482101;1960;1;1
10482102;1974;1;1
10486103;1964;1;1
10488101;1958;1;1
10488103;1989;1;1
10495101;1947;1;6
10497101;1966;1;1
10500101;1976;1;1
10502201;1977;1;1
10502202;1970;1;1
10502203;2000;2;2
10502204;1996;2;1
10502205;2011;1;2
10504101;1950;1;1
10504102;1980;1;6
10506101;1971;1;1
10506102;1972;4;1
10506103;1994;1;1
10507101;1966;1;1
10508201;1945;3;7
10508202;1981;1;1
10511102;1987;1;1
10511103;1988;1;1
10514101;1974;1;1
10514102;1978;1;1
10515101;1980;1;1
10515102;1980;4;1
10516101;1972;4;1
10516102;1968;1;1
10517101;1947;1;1
10519101;1981;1;1
10519102;1980;4;1
10519103;2000;2;2
10520101;1946;3;1
10520102;1921;3;1
10537101;1960;1;7
10537102;1962;4;7
10538101;1959;1;2
10538102;1962;4;6
10538103;1986;4;5
10538104;2007;2;2
10540102;1965;4;7
10540105;2007;2;2
10544102;1967;1;5
10545005;1979;1;7
10545006;2005;2;7
10547001;1991;1;1
10551101;1958;1;1
10552101;1970;1;2
10561102;1974;1;2
10563103;1970;1;2
10565101;1962;1;6
10571102;1981;1;2
10575101;1945;3;6
10580002;1942;1;1
10593101;1946;1;2
10593102;1946;4;7
10594101;1962;1;1
10603103;1991;1;7
10604102;1982;1;2
10611101;1953;3;10
10614101;1955;4;1
10617101;1956;1;5
10620301;1957;1;1
10620302;1959;4;4
10622301;1964;1;1
10622306;2002;2;9
10624102;1967;1;2
10628101;1936;3;2
10628103;1974;3;7
10628104;1972;6;7
10629101;1969;1;7
10630101;1935;3;5
10630102;1939;3;5
10643001;1963;1;4
10643005;1995;2;9
10645101;1974;1;1
10651101;1986;1;2
10651102;1982;4;5
10651103;2002;2;11
10651105;2012;1;4
10660103;1986;1;5
10661003;1975;1;9
10664001;1957;4;7
10676101;1970;6;7
10677102;1970;1;1
10678003;1984;6;5
10678005;2002;2;2
10678006;2005;2;2
10680105;2002;2;2
10681101;1948;1;6
10685101;1971;1;1
10691101;1984;1;10
10694102;1981;1;1
10699103;1993;1;5
10707102;1972;4;3
10707103;1992;2;7
10708001;1964;1;9
10710101;1983;4;1
10710102;2000;2;2
10710103;2008;7;2
10712101;1950;1;10
10714101;1942;3;1
10714102;1973;1;2
10715001;1966;1;11
10715003;1993;2;11
10716101;1933;3;5
10717001;1951;1;2
10717002;1991;2;1
10722101;1968;1;2
10722102;1967;4;1
10725104;1985;1;1
10727101;1987;1;4
10727103;2008;2;4
10730101;1979;1;1
10730103;1997;2;2
10739102;1963;1;2
10742101;1958;1;1
10742102;1984;1;7
10742103;2006;2;7
10744101;1964;3;1
10745101;1932;3;7
10747202;1968;1;4
10754103;1969;1;4
10754104;1972;1;4
10754107;1995;2;2
10755102;1988;1;6
10755104;1992;1;1
10756101;1937;3;1
10757101;1944;3;5
10757102;1944;3;2
10764101;1947;1;7
10764103;1980;1;7
10766101;1978;1;5
10766102;1978;1;1
10766103;2001;2;2
10766104;2007;2;11
10781104;1988;2;2
10791102;1950;4;4
10793101;1947;1;4
10793102;1947;1;4
10795101;1946;1;1
10806201;1967;1;6
10808101;1955;1;7
10815102;1979;1;10
10820101;1958;1;5
10823101;1967;1;7
10827102;1962;1;2
10827103;1985;1;2
10828102;1974;1;1
10832102;1971;1;2
10833103;1981;1;2
10836102;1987;1;7
10836103;1985;1;7
10837102;1973;1;4
10838102;1967;1;4
10840102;1980;1;2
10848102;1966;8;1
10849106;1991;1;7
10853102;1984;1;7
10860301;1963;1;1
10860302;1964;1;7
10862102;1964;1;2
10863102;1988;6;2
10863103;1984;4;2
10863104;1959;1;7
10866102;1962;1;6
10866105;1982;1;6
10867102;1959;1;7
10868103;1969;1;7
10870101;1985;1;2
10872101;1962;4;1
10874103;1950;3;6
10875102;1960;1;3
10875103;1987;1;7
10876102;1973;1;7
10876103;1991;2;7
10878103;1969;1;7
10882102;1970;1;7
10883102;1984;1;4
10885101;1960;1;2
10888101;1978;4;3
10888102;1975;1;7
10889101;1980;4;2
10889102;1980;1;7
10889103;2010;1;7
10894101;1974;1;2
10895102;1979;1;7
10897101;1980;1;7
10897102;1948;3;7
10898101;1974;4;6
10899202;1972;1;7
10903104;2005;2;2
10903105;2005;2;2
10904102;1984;1;3
10907102;1960;1;1
