Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;1ctividad5mpresa;JornadaTrabajo;4onde5studia;4ir1ctividad3oordX;4ir1ctividad3oordY;4ir5studios3oordX;4ir5studios3oordY;NoViaja;Tarjeta2ip;Tarjeta22ip;Medio;3onoceTransantiago;NoUsaTransantiago;4iscapacidad;TieneIngresos;Ingreso;TramoIngreso;Ingreso6inal;TramoIngreso6inal;IngresoImputado;6actor_LaboralNormal;6actor_SabadoNormal;6actor_4omingoNormal;6actor_Laboral5stival;6actor_6indesemana5stival;6actor
109671;10967101;1974;2;2;2;3;2;2;7;4;1;5;5;1;2;346252,5465;6298191,928;2;2;2;3;2;2;1;5;J;1;3;3;441031;3;2;2;179;2;2;2;4,82728
109671;10967102;1970;1;1;2;3;2;2;5;4;1;5;1;1;2;331694,0655;6321886,006;2;2;2;3;2;2;1;5;J;1;3;3;597171;3;2;2;192;2;2;2;5,14052
109671;10967103;1966;1;4;2;3;2;2;7;4;1;5;5;1;2;346595,7603;6298319,945;2;2;2;3;2;3;1;5;J;1;3;3;406948;3;2;2;192;2;2;2;5,14052
109671;10967106;2007;2;3;2;1;2;2;2;1;2;2;2;2;4;2;2;324474,517;6315758,533;2;2;2;2;2;5;J;2;0;0;0;0;0;2;218;2;2;2;7,25164
109681;10968101;1957;2;2;4;3;2;2;10;4;1;5;1;2;2;346169,6369;6298575,371;2;2;2;3;2;2;1;5;J;1;3;4;926592;4;2;106,7527;2;2;2;2;86,99525
109681;10968102;1962;1;1;2;3;2;2;10;4;1;5;5;1;2;344022,0996;6324650,743;2;2;2;2;2;4;2;7;J;1;3;5;1894275;5;2;126,3274;2;2;2;2;93,64149
109681;10968104;1991;2;4;2;1;2;2;5;4;1;5;5;1;2;0;0;2;2;2;3;2;4;2;2;J;1;3;2;339738;2;2;176,7376;2;2;2;2;102,6993
109701;10970103;1958;1;1;2;3;2;2;5;4;1;5;1;1;2;337123,5224;6311817,338;2;2;2;3;2;7;1;5;J;1;3;3;538948;3;2;2;192;2;2;2;34,45713
109741;10974102;1970;1;1;2;3;2;2;9;4;1;5;1;1;2;343727,676;6326482,163;2;2;2;2;2;2;1;5;J;3;0;2;205087;2;2;2;2;2;810;2;36,41763
109751;10975102;1976;2;2;2;3;2;2;9;4;1;5;5;1;2;352435,4943;6302818,486;2;2;2;3;2;3;1;5;J;3;0;3;497295;3;2;2;2;2;1484;2;94,9063
