Persona;AnoNac;Actividad;Medio
11801101;1979;1;2
11801102;1979;4;4
11801103;1999;2;10
11801104;2003;3;10
11801105;2012;2;10
11810202;1979;1;10
11829101;1967;1;2
11829102;1949;1;2
11830302;1974;1;11
11830304;2001;2;11
11830305;2004;2;11
11830306;2004;2;11
11830307;1998;2;2
11835102;1977;1;4
11840104;1966;1;11
11842003;1966;1;2
11843101;1968;1;2
11843102;1966;1;2
11848202;1963;7;10
11860102;1968;1;11
11861102;1981;1;11
11878102;1991;1;2
11883001;1952;6;2
11892101;1959;4;11
11896102;1982;1;2
11904001;1964;1;11
11906301;1980;4;11
11906303;1999;2;11
11906304;1999;2;11
11906305;1976;1;11
11907004;1982;1;2
11907102;1978;1;2
11908101;1992;1;2
11918102;1987;1;2
11931001;1970;4;2
11931002;1986;1;2
11932102;1993;1;10
11936102;1978;1;2
11937102;2009;2;11
11937104;1982;1;11
11939301;1962;1;11
11939303;2005;2;11
11940101;1989;2;2
11940102;1986;1;2
11940103;2008;2;2
11940104;2011;2;2
11941301;1978;3;9
11941302;1959;4;9
11946001;1952;1;10
11946004;1979;3;2
11958103;1988;1;2
11963102;1985;1;11
11964104;1973;1;10
11966002;1956;1;2
11966003;1980;1;2
11967108;2011;7;11
11982201;1942;3;2
11991102;1985;1;2
11993001;1991;1;2
11993003;2001;2;10
11995101;1984;1;2
11997101;1940;1;2
12006202;1976;1;2
12006203;1983;1;2
12006204;2008;2;11
12006205;2013;2;11
12008102;1957;1;2
12013003;1986;6;2
12014101;1955;1;4
12014102;1962;1;4
12017101;1969;1;4
12017104;2002;2;7
12017105;2000;2;7
12024101;1987;1;2
12024102;1984;4;4
12031101;1968;1;6
12031102;1971;1;2
12031103;1990;2;2
12031104;1997;2;2
12037201;1949;1;9
12038202;1976;1;2
12045205;1987;1;11
12049102;1968;1;2
12055001;1968;1;2
12055002;1972;1;10
12055103;2009;2;2
12060201;1938;3;2
12060202;1938;3;2
12065201;1955;1;2
12077201;1952;1;2
12084201;1959;1;10
12084202;1960;1;9
12089103;1975;1;11
12089104;1979;1;7
12091201;1969;1;3
12091202;1979;1;2
12091205;2003;2;5
12091206;2007;2;5
12109201;1963;4;3
12110201;1965;1;10
12113102;1954;1;7
12113104;1993;2;2
12115201;1964;1;3
12116101;1948;1;2
12119102;1955;1;2
12119104;1990;1;2
12123201;1955;1;2
12124101;1988;1;7
12124102;1992;4;5
12124103;2012;2;4
12146201;1966;1;2
12146202;1969;4;2
12146204;2006;2;2
12152101;1976;1;4
12152102;1982;1;2
12152103;2010;2;4
12154201;1938;3;5
12154202;1960;1;5
12154203;2000;2;5
12164104;1982;1;7
12169101;1959;1;2
12171102;1946;3;3
12172201;1980;1;5
12172202;1984;1;3
12176301;1982;1;2
12178101;1958;3;2
12181101;1966;1;2
12182101;1965;1;2
12182102;1965;4;2
12182103;1995;2;2
12182104;2003;2;2
12185201;1970;1;8
12188105;1994;2;2
12189101;1966;1;2
12193103;2003;2;2
12196101;1955;1;2
12196103;1989;7;2
12197102;1983;1;2
12203101;1953;1;2
12209101;1965;1;2
12210303;2005;2;11
12212103;1987;1;2
12214201;1990;1;5
12214202;1993;4;2
12214203;2010;2;11
12222201;1991;1;3
12223101;1981;1;2
12223102;1981;4;2
12225101;1956;1;2
12225102;1964;1;2
12225103;1990;5;2
12229101;1960;1;1
12232001;1973;1;2
12232002;1999;2;2
12232003;2007;2;2
12235101;1959;1;6
12235102;1995;2;9
12241201;1938;4;2
12242301;1935;4;2
12255101;1981;1;2
12262102;1960;1;4
12278101;1967;1;2
12278103;1993;2;2
12280002;1969;1;3
12299101;1981;1;2
12307101;1974;1;3
12308002;1985;1;4
12310106;1964;1;3
12310107;1984;1;3
12312101;1945;3;10
12316101;1971;1;2
12316102;1947;4;3
12320004;2011;2;7
12322002;1978;1;2
12326101;1965;6;3
12326104;1991;2;3
12326105;1991;2;2
12330102;1959;1;2
12333101;1969;1;10
12334002;1958;1;3
12339103;1967;1;4
12339104;1969;1;4
12341003;1990;4;2
12341006;2013;2;2
12344101;1965;1;3
12344102;1940;3;5
12347103;1970;1;3
12351101;1962;1;2
12351102;1964;1;2
12355101;1974;1;7
12357105;1980;1;7
12357106;1954;1;7
12358202;1965;4;2
12358203;1997;2;2
12358204;2006;2;3
12359101;1973;1;7
12359102;1972;1;7
12362104;1992;1;7
12365102;1980;1;2
12366103;1975;1;3
12369101;1967;1;3
12372101;1970;1;7
12372102;1953;1;7
12372105;1995;2;7
12373101;1981;4;2
12374101;1960;4;3
12375101;1970;1;7
12375102;1972;4;7
12375103;1997;2;7
12381101;1985;1;3
12381102;1988;1;2
